participant_ID,condition,voice,n_targets,hits_ir,fa_count,total_fp,hit_rate_ir,fa_rate,cr_ir,n_wr,hits_wr,hit_rate_wr,mean_rt_ir,median_rt_ir,mean_rt_wr,median_rt_wr,n_rt_ir,cond_voice,mean_rt_ir_clean,median_rt_ir_clean,mean_rt_wr_clean,n_rt_ir_clean
232,HVL,A,18.0,6.0,0.0,6.0,0.3333333333333333,0.0,0.3333333333333333,6.0,5.0,0.8333333333333334,855.6666666666666,800.0,1614.1666666666667,950.0,6.0,HVL_A,855.6666666666666,800.0,1614.1666666666667,6.0
232,HVL,P,18.0,6.0,0.0,6.0,0.3333333333333333,0.0,0.3333333333333333,6.0,3.0,0.5,981.0,1042.5,12341.5,2505.5,6.0,HVL_P,981.0,1042.5,12341.5,6.0
232,LVH,A,18.0,6.0,0.0,6.0,0.3333333333333333,0.0,0.3333333333333333,6.0,5.0,0.8333333333333334,868.6666666666666,873.0,1188.5,1207.5,6.0,LVH_A,868.6666666666666,873.0,1188.5,6.0
232,LVH,P,16.0,5.0,0.0,6.0,0.3125,0.0,0.3125,5.0,4.0,0.8,896.4,894.0,1009.2,620.0,5.0,LVH_P,896.4,894.0,1009.2,5.0
232,LVL,A,18.0,6.0,0.0,6.0,0.3333333333333333,0.0,0.3333333333333333,6.0,6.0,1.0,901.6666666666666,907.5,1524.6666666666667,1385.0,6.0,LVL_A,901.6666666666666,907.5,1524.6666666666667,6.0
232,LVL,P,18.0,6.0,0.0,6.0,0.3333333333333333,0.0,0.3333333333333333,6.0,4.0,0.6666666666666666,973.0,851.0,1109.6666666666667,1035.0,6.0,LVL_P,973.0,851.0,1109.6666666666667,6.0
235,HVL,A,14.0,4.0,0.0,6.0,0.2857142857142857,0.0,0.2857142857142857,4.0,3.0,0.75,1298.75,1065.5,1880.0,866.5,4.0,HVL_A,1298.75,1065.5,1880.0,4.0
235,HVL,P,18.0,6.0,0.0,6.0,0.3333333333333333,0.0,0.3333333333333333,6.0,3.0,0.5,1174.6666666666667,1150.0,1972.6666666666667,459.5,6.0,HVL_P,1174.6666666666667,1150.0,1972.6666666666667,6.0
235,LVH,A,14.0,4.0,0.0,6.0,0.2857142857142857,0.0,0.2857142857142857,4.0,4.0,1.0,1293.75,1296.0,374.0,295.0,4.0,LVH_A,1293.75,1296.0,374.0,4.0
235,LVH,P,14.0,4.0,0.0,6.0,0.2857142857142857,0.0,0.2857142857142857,4.0,2.0,0.5,1633.25,1501.5,2416.75,2066.5,4.0,LVH_P,1633.25,1501.5,2416.75,4.0
235,LVL,A,16.0,5.0,0.0,6.0,0.3125,0.0,0.3125,5.0,4.0,0.8,1839.2,1759.0,757.0,827.0,5.0,LVL_A,1839.2,1759.0,757.0,5.0
235,LVL,P,10.0,2.0,0.0,6.0,0.2,0.0,0.2,2.0,2.0,1.0,1321.0,1321.0,1289.5,1289.5,2.0,LVL_P,1321.0,1321.0,1289.5,2.0
236,HVL,A,16.0,5.0,0.0,6.0,0.3125,0.0,0.3125,5.0,4.0,0.8,1424.8,1463.0,756.6,362.0,5.0,HVL_A,1424.8,1463.0,756.6,5.0
236,HVL,P,18.0,6.0,0.0,6.0,0.3333333333333333,0.0,0.3333333333333333,6.0,4.0,0.6666666666666666,1688.0,1501.0,299.5,274.0,6.0,HVL_P,1688.0,1501.0,299.5,6.0
236,LVH,A,16.0,5.0,0.0,6.0,0.3125,0.0,0.3125,5.0,2.0,0.4,1680.8,1763.0,1088.8,543.0,5.0,LVH_A,1680.8,1763.0,1088.8,5.0
236,LVH,P,18.0,6.0,0.0,6.0,0.3333333333333333,0.0,0.3333333333333333,6.0,4.0,0.6666666666666666,1965.8333333333333,1705.5,1156.1666666666667,670.0,6.0,LVH_P,1965.8333333333333,1705.5,1156.1666666666667,6.0
236,LVL,A,18.0,6.0,0.0,6.0,0.3333333333333333,0.0,0.3333333333333333,6.0,4.0,0.6666666666666666,2142.1666666666665,2061.5,433.3333333333333,326.5,6.0,LVL_A,2142.1666666666665,2061.5,433.3333333333333,6.0
236,LVL,P,18.0,6.0,0.0,6.0,0.3333333333333333,0.0,0.3333333333333333,6.0,5.0,0.8333333333333334,2038.5,2028.0,948.1666666666666,359.0,6.0,LVL_P,2038.5,2028.0,948.1666666666666,6.0
241,HVL,A,16.0,5.0,0.0,6.0,0.3125,0.0,0.3125,5.0,3.0,0.6,1574.6,1363.0,917.2,412.0,5.0,HVL_A,1574.6,1363.0,917.2,5.0
241,HVL,P,18.0,6.0,0.0,6.0,0.3333333333333333,0.0,0.3333333333333333,6.0,3.0,0.5,1651.0,1426.0,737.8333333333334,385.0,6.0,HVL_P,1651.0,1426.0,737.8333333333334,6.0
241,LVH,A,14.0,4.0,0.0,6.0,0.2857142857142857,0.0,0.2857142857142857,4.0,3.0,0.75,1963.0,1801.5,1047.25,299.5,4.0,LVH_A,1963.0,1801.5,1047.25,4.0
241,LVH,P,18.0,6.0,1.0,6.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,6.0,5.0,0.8333333333333334,1698.3333333333333,1360.0,1072.3333333333333,547.0,6.0,LVH_P,1698.3333333333333,1360.0,1072.3333333333333,6.0
241,LVL,A,16.0,5.0,0.0,6.0,0.3125,0.0,0.3125,5.0,1.0,0.2,1811.0,1502.0,355.2,368.0,5.0,LVL_A,1811.0,1502.0,355.2,5.0
241,LVL,P,18.0,6.0,1.0,6.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,6.0,2.0,0.3333333333333333,1624.3333333333333,1680.0,1324.5,782.0,6.0,LVL_P,1624.3333333333333,1680.0,1324.5,6.0
242,HVL,A,16.0,5.0,0.0,6.0,0.3125,0.0,0.3125,5.0,4.0,0.8,1512.0,1588.0,710.4,786.0,5.0,HVL_A,1512.0,1588.0,710.4,5.0
242,HVL,P,18.0,6.0,0.0,6.0,0.3333333333333333,0.0,0.3333333333333333,6.0,5.0,0.8333333333333334,1635.5,1627.0,1024.6666666666667,530.5,6.0,HVL_P,1635.5,1627.0,1024.6666666666667,6.0
